Xa       Ya       Xb       Yb      Type     Flux     Speed
 2.38754  48.9694  2.38754  48.9694    10       45       25
 2.38529  48.9511  2.38529  48.9511    10       653      17
 2.36399  48.9536  2.36399  48.9536    10       142      22
 2.36415  48.956   2.36415  48.956     10       64       24
 2.37479  48.9665  2.37479  48.9665    10       389      21
 2.36258  48.9698  2.36258  48.9698    10       280      22
 2.34407  48.9555  2.34407  48.9555    10       140      27
 2.34131  48.9562  2.34131  48.9562    10       105      25
 2.34457  48.9568  2.34457  48.9568    10       121      15
 2.34339  48.965   2.34339  48.965     10       328      19
 2.39342  48.9784  2.39342  48.9784    10       581      21
 2.39529  48.9696  2.39529  48.9696    10       293      40
 2.41537  48.973   2.41537  48.973     10       156      24
 2.41157  48.9699  2.41157  48.9699    10       574      26
 2.43699  48.9786  2.43699  48.9786    10       47       44
 2.4254   48.9981  2.4254   48.9981    10       181      84
 2.43462  49.0024  2.43462  49.0024    10       373      76
 2.44469  48.986   2.44469  48.986     10       115      35
 2.45521  48.9857  2.45521  48.9857    10       521      30
 2.46788  48.9827  2.46788  48.9827    10       47       18
  2.46    48.9805   2.46    48.9805    10       65       36
 2.42198  48.9945  2.42198  48.9945    10       114      49
  2.424   48.9879   2.424   48.9879    10       159      46
 2.42406  48.982   2.42406  48.982     10       94       36
 2.30554  48.9557  2.30554  48.9557    10       337      15
 2.30181  48.9578  2.30181  48.9578    10       248      12
 2.31169  48.9601  2.31169  48.9601    10       788      14
 2.32952  48.955   2.32952  48.955     10       365      15
 2.33283  48.9482  2.33283  48.9482    10       338      10
 2.33348  48.9751  2.33348  48.9751    10       257      38
 2.32446  48.9661  2.32446  48.9661    10       410      35
 2.32653  48.978   2.32653  48.978     10       204      46
 2.34534  48.975   2.34534  48.975     10       159      69
 2.35126  48.9735  2.35126  48.9735    10       289      22
 2.33114  48.9606  2.33114  48.9606    10       88       32
 2.36477  48.9775  2.36477  48.9775    10       26       56
 2.30753  48.9728  2.30753  48.9728    10       354      25
 2.30588  48.9715  2.30588  48.9715    10       375      27
 2.28776  48.9691  2.28776  48.9691    10       570      26
 2.2881   48.9734  2.2881   48.9734    10       282      50
 2.29467  48.9768  2.29467  48.9768    10       32       84
 2.31272  48.9784  2.31272  48.9784    10       230      50
 2.32784  48.9944  2.32784  48.9944    10       222      33
 2.3293   48.9917  2.3293   48.9917    10       236      26
 2.32226  49.0043  2.32226  49.0043    10       131      58
 2.29496  48.9865  2.29496  48.9865    10       197      96
 2.30341  48.9942  2.30341  48.9942    10       146      42
 2.30326  48.9904  2.30326  48.9904    10       391      33
 2.30775  49.0029  2.30775  49.0029    10       60       93
 2.35729  48.9837  2.35729  48.9837    10       267      21
 2.3478   48.9887  2.3478   48.9887    10       112      158
 2.39061  48.9801  2.39061  48.9801    10       592      30
 2.39054  48.9853  2.39054  48.9853    10       150      44
 2.3784   48.9812  2.3784   48.9812    10       747      44
 2.39409  48.997   2.39409  48.997     10       167      63
 2.38153  48.9964  2.38153  48.9964    10       531      25
 2.37711  48.9954  2.37711  48.9954    10       285      32
 2.37973  49.0045  2.37973  49.0045    10       233      31
 2.3687   48.9959  2.3687   48.9959    10       229      111
 2.35346  49.0027  2.35346  49.0027    10       49       47
 2.35499  48.9988  2.35499  48.9988    10       390      62
 2.33694  48.9971  2.33694  48.9971    10       35       109
 2.41871  48.9958  2.41871  48.9958    10       76       135
 2.41295  49.0023  2.41295  49.0023    10       193      116
 2.39433  49.0067  2.39433  49.0067    10       90       33
 2.38749  49.0065  2.38749  49.0065    10       364      23
 2.46947  49.0061  2.46947  49.0061    10       208      124
 2.46515  49.0315  2.46515  49.0315    10       146      49
 2.47716  49.0369  2.47716  49.0369    10       273      78
 2.45868  49.0412  2.45868  49.0412    10       457      72
 2.45699  49.0229  2.45699  49.0229    10       91       49
 2.50139  49.0505  2.50139  49.0505    10       274      37
 2.50484  49.0383  2.50484  49.0383    10       104      108
 2.42719  49.0378  2.42719  49.0378    10       10       79
 2.36741  49.026   2.36741  49.026     10       27       75
 2.37798  49.0243  2.37798  49.0243    10       136      34
 2.36108  49.0347  2.36108  49.0347    10       120      51
 2.3502   49.0365  2.3502   49.0365    10       28       62
 2.34194  49.0527  2.34194  49.0527    10       64       149
 2.29805  49.0647  2.29805  49.0647    10       40       56
 2.32218  49.0457  2.32218  49.0457    10       32       136
 2.31337  49.0409  2.31337  49.0409    10       19       171
 2.30454  49.0383  2.30454  49.0383    10       43       58
 2.32764  49.0293  2.32764  49.0293    10       168      46
 2.33652  49.0394  2.33652  49.0394    10       164      70
 2.34949  49.0141  2.34949  49.0141    10       24       37
 2.32775  49.0166  2.32775  49.0166    10        6       152
 2.2921   49.0152  2.2921   49.0152    10       67       55
 2.29011  49.004   2.29011  49.004     10       109      45
 2.41896  48.8633  2.41896  48.8633    10       731      23
 2.41943  48.8718  2.41943  48.8718    10       355      14
 2.42821  48.874   2.42821  48.874     10       365      20
 2.42541  48.8754  2.42541  48.8754    10       69       30
 2.42861  48.859   2.42861  48.859     10      1001      30
 2.43504  48.8602  2.43504  48.8602    10      1071      20
 2.43792  48.8624  2.43792  48.8624    10       609      28
 2.46498  48.8657  2.46498  48.8657    10       488      16
 2.46506  48.8685  2.46506  48.8685    10       399      18
 2.45503  48.8718  2.45503  48.8718    10       431      23
 2.45683  48.8735  2.45683  48.8735    10       434      13
 2.41776  48.8819  2.41776  48.8819    10       683      24
 2.40589  48.8858  2.40589  48.8858    10       545      15
 2.40624  48.8919  2.40624  48.8919    10      1050      17
 2.41115  48.8927  2.41115  48.8927    10       529      20
 2.40572  48.9015  2.40572  48.9015    10       955      26
 2.44144  48.8785  2.44144  48.8785    10       161      29
 2.43112  48.8949  2.43112  48.8949    10       196      22
 2.46471  48.8963  2.46471  48.8963    10       612       9
 2.46712  48.8812  2.46712  48.8812    10       67       18
 2.46806  48.8888  2.46806  48.8888    10       213      21
 2.45419  48.8902  2.45419  48.8902    10       545      11
 2.48485  48.8756  2.48485  48.8756    10       229       8
 2.48618  48.8746  2.48618  48.8746    10       422      24
 2.49545   48.87   2.49545   48.87     10       293      18
 2.49684  48.8729  2.49684  48.8729    10       44       18
 2.48272  48.881   2.48272  48.881     10      1220      28
 2.48969  48.8825  2.48969  48.8825    10       110      29
 2.49345  48.8937  2.49345  48.8937    10      1123      46
 2.48326  48.8951  2.48326  48.8951    10       425      39
 2.50046  48.9017  2.50046  48.9017    10       866      25
 2.48516  48.9047  2.48516  48.9047    10       741      24
 2.48483  48.9086  2.48483  48.9086    10      1503      37
 2.51869  48.8856  2.51869  48.8856    10       693      19
 2.51238  48.8897  2.51238  48.8897    10      1162      28
 2.50936  48.8846  2.50936  48.8846    10      1975       9
 2.53164  48.8859  2.53164  48.8859    10      1420      17
 2.54513  48.8955  2.54513  48.8955    10       457       9
 2.5485   48.8953  2.5485   48.8953    10       213      25
 2.55345  48.8779  2.55345  48.8779    10       538      25
 2.55001  48.8809  2.55001  48.8809    10      1255      10
 2.51859  48.9016  2.51859  48.9016    10      1362      21
 2.52795  48.8953  2.52795  48.8953    10       617      22
 2.5139   48.9098  2.5139   48.9098    10      1090      18
 2.50747  48.9154  2.50747  48.9154    10      1417      14
 2.49282  48.9659  2.49282  48.9659    10       95       22
 2.48951  48.9636  2.48951  48.9636    10       62       25
 2.46877  48.9568  2.46877  48.9568    10       30       25
 2.47249  48.9564  2.47249  48.9564    10       61       23
 2.46916  48.9598  2.46916  48.9598    10       223      26
 2.49819  48.9541  2.49819  48.9541    10       189      15
 2.49828  48.9556  2.49828  48.9556    10      1299      21
 2.49141  48.9552  2.49141  48.9552    10       291      41
 2.49239  48.9507  2.49239  48.9507    10       364      60
 2.51326  48.9502  2.51326  48.9502    10       304      23
 2.50881  48.9471  2.50881  48.9471    10       204      24
 2.50382  48.9469  2.50382  48.9469    10       300      62
 2.49519  48.9351  2.49519  48.9351    10       863      22
 2.49629  48.9339  2.49629  48.9339    10       306      20
 2.49228  48.9238  2.49228  48.9238    10       303      16
 2.49769  48.9245  2.49769  48.9245    10       397      26
 2.51698  48.9254  2.51698  48.9254    10       259      45
 2.5223   48.9137  2.5223   48.9137    10      1294      12
 2.54187  48.9237  2.54187  48.9237    10       172      30
 2.53872  48.9219  2.53872  48.9219    10       643      27
 2.5554   48.9327  2.5554   48.9327    10       609      12
 2.54609  48.9083  2.54609  48.9083    10       567      30
 2.54569  48.9119  2.54569  48.9119    10       550      26
 2.54058  48.909   2.54058  48.909     10       966      10
 2.56426  48.9058  2.56426  48.9058    10       748      15
 2.55336  48.8946  2.55336  48.8946    10       464      25
 2.58247  48.9041  2.58247  48.9041    10       639      10
 2.58398  48.8747  2.58398  48.8747    10       303      27
 2.58615  48.8722  2.58615  48.8722    10       894      35
 2.59472  48.8848  2.59472  48.8848    10       506      44
 2.59379  48.8828  2.59379  48.8828    10       580      45
 2.6025   48.8863  2.6025   48.8863    10       687      43
 2.61297  48.9009  2.61297  48.9009    10       620      68
 2.60634  48.8998  2.60634  48.8998    10       282      38
 2.57954  48.9175  2.57954  48.9175    10       261      13
 2.57549  48.9374  2.57549  48.9374    10       328      17
 2.51585  48.9417  2.51585  48.9417    10       505      30
 2.52662  48.9299  2.52662  48.9299    10       230      16
 2.53629  48.9318  2.53629  48.9318    10       254      19
 2.53461  48.9413  2.53461  48.9413    10       630      19
 2.53628  48.9462  2.53628  48.9462    10       563      20
 2.56509  48.9451  2.56509  48.9451    10       84       20
 2.55485  48.9535  2.55485  48.9535    10       113      19
 2.56041  48.9542  2.56041  48.9542    10       394      19
 2.53745  48.9636  2.53745  48.9636    10       631      17
 2.55181  48.9825  2.55181  48.9825    10       49       46
 2.5737   48.9649  2.5737   48.9649    10       517      14
 2.57461  48.9625  2.57461  48.9625    10       149      13
 2.57105  48.9481  2.57105  48.9481    10       150      42
